
Varste si grupe de varsta, Sexe, Medii de rezidenta, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Total, Masculin, Urban, Covasna, Anul 2012, Numar persoane, 48510
Total, Masculin, Urban, Covasna, Anul 2013, Numar persoane, 48281
Total, Masculin, Urban, Covasna, Anul 2014, Numar persoane, 48149
Total, Masculin, Urban, Covasna, Anul 2015, Numar persoane, 47728
Total, Masculin, Urban, Covasna, Anul 2016, Numar persoane, 47319
Total, Masculin, Urban, Harghita, Anul 2012, Numar persoane, 64423
Total, Masculin, Urban, Harghita, Anul 2013, Numar persoane, 64605
Total, Masculin, Urban, Harghita, Anul 2014, Numar persoane, 64379
Total, Masculin, Urban, Harghita, Anul 2015, Numar persoane, 63801
Total, Masculin, Urban, Harghita, Anul 2016, Numar persoane, 63155
Total, Masculin, Rural, Covasna, Anul 2012, Numar persoane, 54771
Total, Masculin, Rural, Covasna, Anul 2013, Numar persoane, 54961
Total, Masculin, Rural, Covasna, Anul 2014, Numar persoane, 55187
Total, Masculin, Rural, Covasna, Anul 2015, Numar persoane, 55138
Total, Masculin, Rural, Covasna, Anul 2016, Numar persoane, 54821
Total, Masculin, Rural, Harghita, Anul 2012, Numar persoane, 89198
Total, Masculin, Rural, Harghita, Anul 2013, Numar persoane, 89207
Total, Masculin, Rural, Harghita, Anul 2014, Numar persoane, 89484
Total, Masculin, Rural, Harghita, Anul 2015, Numar persoane, 89440
Total, Masculin, Rural, Harghita, Anul 2016, Numar persoane, 88992
Total, Feminin, Total, Covasna, Anul 2012, Numar persoane, 106432
Total, Feminin, Total, Covasna, Anul 2013, Numar persoane, 105734
Total, Feminin, Total, Covasna, Anul 2014, Numar persoane, 105292
Total, Feminin, Total, Covasna, Anul 2015, Numar persoane, 104730
Total, Feminin, Total, Covasna, Anul 2016, Numar persoane, 104182
Total, Feminin, Total, Harghita, Anul 2012, Numar persoane, 157427
Total, Feminin, Total, Harghita, Anul 2013, Numar persoane, 157030
Total, Feminin, Total, Harghita, Anul 2014, Numar persoane, 156497
Total, Feminin, Total, Harghita, Anul 2015, Numar persoane, 155897
Total, Feminin, Total, Harghita, Anul 2016, Numar persoane, 155405
Total, Feminin, Urban, Covasna, Anul 2012, Numar persoane, 51993
Total, Feminin, Urban, Covasna, Anul 2013, Numar persoane, 51546
Total, Feminin, Urban, Covasna, Anul 2014, Numar persoane, 51056
Total, Feminin, Urban, Covasna, Anul 2015, Numar persoane, 50719
Total, Feminin, Urban, Covasna, Anul 2016, Numar persoane, 50436
Total, Feminin, Urban, Harghita, Anul 2012, Numar persoane, 68813
Total, Feminin, Urban, Harghita, Anul 2013, Numar persoane, 68820
Total, Feminin, Urban, Harghita, Anul 2014, Numar persoane, 68209
Total, Feminin, Urban, Harghita, Anul 2015, Numar persoane, 67654
Total, Feminin, Urban, Harghita, Anul 2016, Numar persoane, 67298
Total, Feminin, Rural, Covasna, Anul 2012, Numar persoane, 54439
Total, Feminin, Rural, Covasna, Anul 2013, Numar persoane, 54188
Total, Feminin, Rural, Covasna, Anul 2014, Numar persoane, 54236
Total, Feminin, Rural, Covasna, Anul 2015, Numar persoane, 54011
Total, Feminin, Rural, Covasna, Anul 2016, Numar persoane, 53746
Total, Feminin, Rural, Harghita, Anul 2012, Numar persoane, 88614
Total, Feminin, Rural, Harghita, Anul 2013, Numar persoane, 88210
Total, Feminin, Rural, Harghita, Anul 2014, Numar persoane, 88288
Total, Feminin, Rural, Harghita, Anul 2015, Numar persoane, 88243
Total, Feminin, Rural, Harghita, Anul 2016, Numar persoane, 88107
0- 4 ani, Total, Total, Covasna, Anul 2012, Numar persoane, 11846
0- 4 ani, Total, Total, Covasna, Anul 2013, Numar persoane, 11677
0- 4 ani, Total, Total, Covasna, Anul 2014, Numar persoane, 11507
0- 4 ani, Total, Total, Covasna, Anul 2015, Numar persoane, 11328
0- 4 ani, Total, Total, Covasna, Anul 2016, Numar persoane, 11124
0- 4 ani, Total, Total, Harghita, Anul 2012, Numar persoane, 17409
0- 4 ani, Total, Total, Harghita, Anul 2013, Numar persoane, 17027
0- 4 ani, Total, Total, Harghita, Anul 2014, Numar persoane, 16552
0- 4 ani, Total, Total, Harghita, Anul 2015, Numar persoane, 16308
0- 4 ani, Total, Total, Harghita, Anul 2016, Numar persoane, 16039
0- 4 ani, Total, Urban, Covasna, Anul 2012, Numar persoane, 5110
0- 4 ani, Total, Urban, Covasna, Anul 2013, Numar persoane, 4964
0- 4 ani, Total, Urban, Covasna, Anul 2014, Numar persoane, 4860
0- 4 ani, Total, Urban, Covasna, Anul 2015, Numar persoane, 4757
0- 4 ani, Total, Urban, Covasna, Anul 2016, Numar persoane, 4706
0- 4 ani, Total, Urban, Harghita, Anul 2012, Numar persoane, 7008
0- 4 ani, Total, Urban, Harghita, Anul 2013, Numar persoane, 6800
0- 4 ani, Total, Urban, Harghita, Anul 2014, Numar persoane, 6622
0- 4 ani, Total, Urban, Harghita, Anul 2015, Numar persoane, 6479
0- 4 ani, Total, Urban, Harghita, Anul 2016, Numar persoane, 6313
0- 4 ani, Total, Rural, Covasna, Anul 2012, Numar persoane, 6736
0- 4 ani, Total, Rural, Covasna, Anul 2013, Numar persoane, 6713
0- 4 ani, Total, Rural, Covasna, Anul 2014, Numar persoane, 6647
0- 4 ani, Total, Rural, Covasna, Anul 2015, Numar persoane, 6571
0- 4 ani, Total, Rural, Covasna, Anul 2016, Numar persoane, 6418
0- 4 ani, Total, Rural, Harghita, Anul 2012, Numar persoane, 10401
0- 4 ani, Total, Rural, Harghita, Anul 2013, Numar persoane, 10227
0- 4 ani, Total, Rural, Harghita, Anul 2014, Numar persoane, 9930
0- 4 ani, Total, Rural, Harghita, Anul 2015, Numar persoane, 9829
0- 4 ani, Total, Rural, Harghita, Anul 2016, Numar persoane, 9726
0- 4 ani, Masculin, Total, Covasna, Anul 2012, Numar persoane, 6062
0- 4 ani, Masculin, Total, Covasna, Anul 2013, Numar persoane, 6000
0- 4 ani, Masculin, Total, Covasna, Anul 2014, Numar persoane, 5969
0- 4 ani, Masculin, Total, Covasna, Anul 2015, Numar persoane, 5872
0- 4 ani, Masculin, Total, Covasna, Anul 2016, Numar persoane, 5688
0- 4 ani, Masculin, Total, Harghita, Anul 2012, Numar persoane, 8885
0- 4 ani, Masculin, Total, Harghita, Anul 2013, Numar persoane, 8684
0- 4 ani, Masculin, Total, Harghita, Anul 2014, Numar persoane, 8507
0- 4 ani, Masculin, Total, Harghita, Anul 2015, Numar persoane, 8368
0- 4 ani, Masculin, Total, Harghita, Anul 2016, Numar persoane, 8217
0- 4 ani, Masculin, Urban, Covasna, Anul 2012, Numar persoane, 2620
0- 4 ani, Masculin, Urban, Covasna, Anul 2013, Numar persoane, 2586
0- 4 ani, Masculin, Urban, Covasna, Anul 2014, Numar persoane, 2574
0- 4 ani, Masculin, Urban, Covasna, Anul 2015, Numar persoane, 2482
0- 4 ani, Masculin, Urban, Covasna, Anul 2016, Numar persoane, 2388
0- 4 ani, Masculin, Urban, Harghita, Anul 2012, Numar persoane, 3585
0- 4 ani, Masculin, Urban, Harghita, Anul 2013, Numar persoane, 3471
0- 4 ani, Masculin, Urban, Harghita, Anul 2014, Numar persoane, 3419
0- 4 ani, Masculin, Urban, Harghita, Anul 2015, Numar persoane, 3331
0- 4 ani, Masculin, Urban, Harghita, Anul 2016, Numar persoane, 3247
0- 4 ani, Masculin, Rural, Covasna, Anul 2012, Numar persoane, 3442
0- 4 ani, Masculin, Rural, Covasna, Anul 2013, Numar persoane, 3414
0- 4 ani, Masculin, Rural, Covasna, Anul 2014, Numar persoane, 3395
0- 4 ani, Masculin, Rural, Covasna, Anul 2015, Numar persoane, 3390
0- 4 ani, Masculin, Rural, Covasna, Anul 2016, Numar persoane, 3300
0- 4 ani, Masculin, Rural, Harghita, Anul 2012, Numar persoane, 5300
0- 4 ani, Masculin, Rural, Harghita, Anul 2013, Numar persoane, 5213
0- 4 ani, Masculin, Rural, Harghita, Anul 2014, Numar persoane, 5088
0- 4 ani, Masculin, Rural, Harghita, Anul 2015, Numar persoane, 5037
0- 4 ani, Masculin, Rural, Harghita, Anul 2016, Numar persoane, 4970
0- 4 ani, Feminin, Total, Covasna, Anul 2012, Numar persoane, 5784
0- 4 ani, Feminin, Total, Covasna, Anul 2013, Numar persoane, 5677
0- 4 ani, Feminin, Total, Covasna, Anul 2014, Numar persoane, 5538
0- 4 ani, Feminin, Total, Covasna, Anul 2015, Numar persoane, 5456
0- 4 ani, Feminin, Total, Covasna, Anul 2016, Numar persoane, 5436
0- 4 ani, Feminin, Total, Harghita, Anul 2012, Numar persoane, 8524
0- 4 ani, Feminin, Total, Harghita, Anul 2013, Numar persoane, 8343
0- 4 ani, Feminin, Total, Harghita, Anul 2014, Numar persoane, 8045
0- 4 ani, Feminin, Total, Harghita, Anul 2015, Numar persoane, 7940
0- 4 ani, Feminin, Total, Harghita, Anul 2016, Numar persoane, 7822
0- 4 ani, Feminin, Urban, Covasna, Anul 2012, Numar persoane, 2490
0- 4 ani, Feminin, Urban, Covasna, Anul 2013, Numar persoane, 2378
0- 4 ani, Feminin, Urban, Covasna, Anul 2014, Numar persoane, 2286
0- 4 ani, Feminin, Urban, Covasna, Anul 2015, Numar persoane, 2275
0- 4 ani, Feminin, Urban, Covasna, Anul 2016, Numar persoane, 2318
0- 4 ani, Feminin, Urban, Harghita, Anul 2012, Numar persoane, 3423
0- 4 ani, Feminin, Urban, Harghita, Anul 2013, Numar persoane, 3329
0- 4 ani, Feminin, Urban, Harghita, Anul 2014, Numar persoane, 3203
0- 4 ani, Feminin, Urban, Harghita, Anul 2015, Numar persoane, 3148
0- 4 ani, Feminin, Urban, Harghita, Anul 2016, Numar persoane, 3066
0- 4 ani, Feminin, Rural, Covasna, Anul 2012, Numar persoane, 3294
0- 4 ani, Feminin, Rural, Covasna, Anul 2013, Numar persoane, 3299
0- 4 ani, Feminin, Rural, Covasna, Anul 2014, Numar persoane, 3252
0- 4 ani, Feminin, Rural, Covasna, Anul 2015, Numar persoane, 3181
0- 4 ani, Feminin, Rural, Covasna, Anul 2016, Numar persoane, 3118
0- 4 ani, Feminin, Rural, Harghita, Anul 2012, Numar persoane, 5101
0- 4 ani, Feminin, Rural, Harghita, Anul 2013, Numar persoane, 5014
0- 4 ani, Feminin, Rural, Harghita, Anul 2014, Numar persoane, 4842
0- 4 ani, Feminin, Rural, Harghita, Anul 2015, Numar persoane, 4792
0- 4 ani, Feminin, Rural, Harghita, Anul 2016, Numar persoane, 4756
0 ani, Total, Total, Covasna, Anul 2012, Numar persoane, 2192
0 ani, Total, Total, Covasna, Anul 2013, Numar persoane, 2260
0 ani, Total, Total, Covasna, Anul 2014, Numar persoane, 2311
0 ani, Total, Total, Covasna, Anul 2015, Numar persoane, 2182
0 ani, Total, Total, Covasna, Anul 2016, Numar persoane, 2149
0 ani, Total, Total, Harghita, Anul 2012, Numar persoane, 3202
0 ani, Total, Total, Harghita, Anul 2013, Numar persoane, 3204
0 ani, Total, Total, Harghita, Anul 2014, Numar persoane, 3222
0 ani, Total, Total, Harghita, Anul 2015, Numar persoane, 3258
0 ani, Total, Total, Harghita, Anul 2016, Numar persoane, 3141
0 ani, Total, Urban, Covasna, Anul 2012, Numar persoane, 879
0 ani, Total, Urban, Covasna, Anul 2013, Numar persoane, 919
0 ani, Total, Urban, Covasna, Anul 2014, Numar persoane, 1014
0 ani, Total, Urban, Covasna, Anul 2015, Numar persoane, 936
0 ani, Total, Urban, Covasna, Anul 2016, Numar persoane, 930
0 ani, Total, Urban, Harghita, Anul 2012, Numar persoane, 1217
0 ani, Total, Urban, Harghita, Anul 2013, Numar persoane, 1269
0 ani, Total, Urban, Harghita, Anul 2014, Numar persoane, 1293
0 ani, Total, Urban, Harghita, Anul 2015, Numar persoane, 1310
0 ani, Total, Urban, Harghita, Anul 2016, Numar persoane, 1268
0 ani, Total, Rural, Covasna, Anul 2012, Numar persoane, 1313
0 ani, Total, Rural, Covasna, Anul 2013, Numar persoane, 1341
0 ani, Total, Rural, Covasna, Anul 2014, Numar persoane, 1297
0 ani, Total, Rural, Covasna, Anul 2015, Numar persoane, 1246
0 ani, Total, Rural, Covasna, Anul 2016, Numar persoane, 1219
0 ani, Total, Rural, Harghita, Anul 2012, Numar persoane, 1985
0 ani, Total, Rural, Harghita, Anul 2013, Numar persoane, 1935
0 ani, Total, Rural, Harghita, Anul 2014, Numar persoane, 1929
0 ani, Total, Rural, Harghita, Anul 2015, Numar persoane, 1948
0 ani, Total, Rural, Harghita, Anul 2016, Numar persoane, 1873
0 ani, Masculin, Total, Covasna, Anul 2012, Numar persoane, 1112
0 ani, Masculin, Total, Covasna, Anul 2013, Numar persoane, 1171
0 ani, Masculin, Total, Covasna, Anul 2014, Numar persoane, 1220
0 ani, Masculin, Total, Covasna, Anul 2015, Numar persoane, 1119
0 ani, Masculin, Total, Covasna, Anul 2016, Numar persoane, 1061
0 ani, Masculin, Total, Harghita, Anul 2012, Numar persoane, 1640
0 ani, Masculin, Total, Harghita, Anul 2013, Numar persoane, 1629
0 ani, Masculin, Total, Harghita, Anul 2014, Numar persoane, 1680
0 ani, Masculin, Total, Harghita, Anul 2015, Numar persoane, 1669
0 ani, Masculin, Total, Harghita, Anul 2016, Numar persoane, 1577
0 ani, Masculin, Urban, Covasna, Anul 2012, Numar persoane, 445
0 ani, Masculin, Urban, Covasna, Anul 2013, Numar persoane, 491
0 ani, Masculin, Urban, Covasna, Anul 2014, Numar persoane, 527
0 ani, Masculin, Urban, Covasna, Anul 2015, Numar persoane, 458
0 ani, Masculin, Urban, Covasna, Anul 2016, Numar persoane, 452
0 ani, Masculin, Urban, Harghita, Anul 2012, Numar persoane, 622
0 ani, Masculin, Urban, Harghita, Anul 2013, Numar persoane, 641
0 ani, Masculin, Urban, Harghita, Anul 2014, Numar persoane, 687
0 ani, Masculin, Urban, Harghita, Anul 2015, Numar persoane, 672
0 ani, Masculin, Urban, Harghita, Anul 2016, Numar persoane, 638
0 ani, Masculin, Rural, Covasna, Anul 2012, Numar persoane, 667
0 ani, Masculin, Rural, Covasna, Anul 2013, Numar persoane, 680
0 ani, Masculin, Rural, Covasna, Anul 2014, Numar persoane, 693
0 ani, Masculin, Rural, Covasna, Anul 2015, Numar persoane, 661
0 ani, Masculin, Rural, Covasna, Anul 2016, Numar persoane, 609
0 ani, Masculin, Rural, Harghita, Anul 2012, Numar persoane, 1018
0 ani, Masculin, Rural, Harghita, Anul 2013, Numar persoane, 988
0 ani, Masculin, Rural, Harghita, Anul 2014, Numar persoane, 993
0 ani, Masculin, Rural, Harghita, Anul 2015, Numar persoane, 997
0 ani, Masculin, Rural, Harghita, Anul 2016, Numar persoane, 939
0 ani, Feminin, Total, Covasna, Anul 2012, Numar persoane, 1080
0 ani, Feminin, Total, Covasna, Anul 2013, Numar persoane, 1089
0 ani, Feminin, Total, Covasna, Anul 2014, Numar persoane, 1091
0 ani, Feminin, Total, Covasna, Anul 2015, Numar persoane, 1063
0 ani, Feminin, Total, Covasna, Anul 2016, Numar persoane, 1088
0 ani, Feminin, Total, Harghita, Anul 2012, Numar persoane, 1562
0 ani, Feminin, Total, Harghita, Anul 2013, Numar persoane, 1575
0 ani, Feminin, Total, Harghita, Anul 2014, Numar persoane, 1542
0 ani, Feminin, Total, Harghita, Anul 2015, Numar persoane, 1589
0 ani, Feminin, Total, Harghita, Anul 2016, Numar persoane, 1564
0 ani, Feminin, Urban, Covasna, Anul 2012, Numar persoane, 434
0 ani, Feminin, Urban, Covasna, Anul 2013, Numar persoane, 428
0 ani, Feminin, Urban, Covasna, Anul 2014, Numar persoane, 487
0 ani, Feminin, Urban, Covasna, Anul 2015, Numar persoane, 478
0 ani, Feminin, Urban, Covasna, Anul 2016, Numar persoane, 478
0 ani, Feminin, Urban, Harghita, Anul 2012, Numar persoane, 595
0 ani, Feminin, Urban, Harghita, Anul 2013, Numar persoane, 628
0 ani, Feminin, Urban, Harghita, Anul 2014, Numar persoane, 606
0 ani, Feminin, Urban, Harghita, Anul 2015, Numar persoane, 638
0 ani, Feminin, Urban, Harghita, Anul 2016, Numar persoane, 630
0 ani, Feminin, Rural, Covasna, Anul 2012, Numar persoane, 646
0 ani, Feminin, Rural, Covasna, Anul 2013, Numar persoane, 661
0 ani, Feminin, Rural, Covasna, Anul 2014, Numar persoane, 604
0 ani, Feminin, Rural, Covasna, Anul 2015, Numar persoane, 585
0 ani, Feminin, Rural, Covasna, Anul 2016, Numar persoane, 610
0 ani, Feminin, Rural, Harghita, Anul 2012, Numar persoane, 967
0 ani, Feminin, Rural, Harghita, Anul 2013, Numar persoane, 947
0 ani, Feminin, Rural, Harghita, Anul 2014, Numar persoane, 936
0 ani, Feminin, Rural, Harghita, Anul 2015, Numar persoane, 951
0 ani, Feminin, Rural, Harghita, Anul 2016, Numar persoane, 934
1 ani, Total, Total, Covasna, Anul 2012, Numar persoane, 2350
1 ani, Total, Total, Covasna, Anul 2013, Numar persoane, 2179
1 ani, Total, Total, Covasna, Anul 2014, Numar persoane, 2248
1 ani, Total, Total, Covasna, Anul 2015, Numar persoane, 2379
1 ani, Total, Total, Covasna, Anul 2016, Numar persoane, 2182
1 ani, Total, Total, Harghita, Anul 2012, Numar persoane, 3475
1 ani, Total, Total, Harghita, Anul 2013, Numar persoane, 3196
1 ani, Total, Total, Harghita, Anul 2014, Numar persoane, 3193
1 ani, Total, Total, Harghita, Anul 2015, Numar persoane, 3252
1 ani, Total, Total, Harghita, Anul 2016, Numar persoane, 3257
1 ani, Total, Urban, Covasna, Anul 2012, Numar persoane, 989
1 ani, Total, Urban, Covasna, Anul 2013, Numar persoane, 873
1 ani, Total, Urban, Covasna, Anul 2014, Numar persoane, 911
1 ani, Total, Urban, Covasna, Anul 2015, Numar persoane, 1061
1 ani, Total, Urban, Covasna, Anul 2016, Numar persoane, 933
1 ani, Total, Urban, Harghita, Anul 2012, Numar persoane, 1487
1 ani, Total, Urban, Harghita, Anul 2013, Numar persoane, 1203
1 ani, Total, Urban, Harghita, Anul 2014, Numar persoane, 1264
1 ani, Total, Urban, Harghita, Anul 2015, Numar persoane, 1294
1 ani, Total, Urban, Harghita, Anul 2016, Numar persoane, 1313
1 ani, Total, Rural, Covasna, Anul 2012, Numar persoane, 1361
1 ani, Total, Rural, Covasna, Anul 2013, Numar persoane, 1306
1 ani, Total, Rural, Covasna, Anul 2014, Numar persoane, 1337
1 ani, Total, Rural, Covasna, Anul 2015, Numar persoane, 1318
1 ani, Total, Rural, Covasna, Anul 2016, Numar persoane, 1249
1 ani, Total, Rural, Harghita, Anul 2012, Numar persoane, 1988
1 ani, Total, Rural, Harghita, Anul 2013, Numar persoane, 1993
1 ani, Total, Rural, Harghita, Anul 2014, Numar persoane, 1929
1 ani, Total, Rural, Harghita, Anul 2015, Numar persoane, 1958
1 ani, Total, Rural, Harghita, Anul 2016, Numar persoane, 1944
1 ani, Masculin, Total, Covasna, Anul 2012, Numar persoane, 1236
1 ani, Masculin, Total, Covasna, Anul 2013, Numar persoane, 1101
1 ani, Masculin, Total, Covasna, Anul 2014, Numar persoane, 1165
1 ani, Masculin, Total, Covasna, Anul 2015, Numar persoane, 1264
1 ani, Masculin, Total, Covasna, Anul 2016, Numar persoane, 1102
1 ani, Masculin, Total, Harghita, Anul 2012, Numar persoane, 1767
1 ani, Masculin, Total, Harghita, Anul 2013, Numar persoane, 1639
1 ani, Masculin, Total, Harghita, Anul 2014, Numar persoane, 1624
1 ani, Masculin, Total, Harghita, Anul 2015, Numar persoane, 1702
1 ani, Masculin, Total, Harghita, Anul 2016, Numar persoane, 1669
1 ani, Masculin, Urban, Covasna, Anul 2012, Numar persoane, 544
1 ani, Masculin, Urban, Covasna, Anul 2013, Numar persoane, 441
1 ani, Masculin, Urban, Covasna, Anul 2014, Numar persoane, 491
1 ani, Masculin, Urban, Covasna, Anul 2015, Numar persoane, 555
1 ani, Masculin, Urban, Covasna, Anul 2016, Numar persoane, 450
1 ani, Masculin, Urban, Harghita, Anul 2012, Numar persoane, 754
1 ani, Masculin, Urban, Harghita, Anul 2013, Numar persoane, 614
1 ani, Masculin, Urban, Harghita, Anul 2014, Numar persoane, 640
1 ani, Masculin, Urban, Harghita, Anul 2015, Numar persoane, 696
1 ani, Masculin, Urban, Harghita, Anul 2016, Numar persoane, 680
1 ani, Masculin, Rural, Covasna, Anul 2012, Numar persoane, 692
1 ani, Masculin, Rural, Covasna, Anul 2013, Numar persoane, 660
1 ani, Masculin, Rural, Covasna, Anul 2014, Numar persoane, 674
1 ani, Masculin, Rural, Covasna, Anul 2015, Numar persoane, 709
1 ani, Masculin, Rural, Covasna, Anul 2016, Numar persoane, 652
1 ani, Masculin, Rural, Harghita, Anul 2012, Numar persoane, 1013
1 ani, Masculin, Rural, Harghita, Anul 2013, Numar persoane, 1025
1 ani, Masculin, Rural, Harghita, Anul 2014, Numar persoane, 984
1 ani, Masculin, Rural, Harghita, Anul 2015, Numar persoane, 1006
1 ani, Masculin, Rural, Harghita, Anul 2016, Numar persoane, 989
1 ani, Feminin, Total, Covasna, Anul 2012, Numar persoane, 1114
1 ani, Feminin, Total, Covasna, Anul 2013, Numar persoane, 1078
1 ani, Feminin, Total, Covasna, Anul 2014, Numar persoane, 1083
1 ani, Feminin, Total, Covasna, Anul 2015, Numar persoane, 1115
1 ani, Feminin, Total, Covasna, Anul 2016, Numar persoane, 1080
1 ani, Feminin, Total, Harghita, Anul 2012, Numar persoane, 1708
1 ani, Feminin, Total, Harghita, Anul 2013, Numar persoane, 1557
1 ani, Feminin, Total, Harghita, Anul 2014, Numar persoane, 1569
1 ani, Feminin, Total, Harghita, Anul 2015, Numar persoane, 1550
1 ani, Feminin, Total, Harghita, Anul 2016, Numar persoane, 1588
1 ani, Feminin, Urban, Covasna, Anul 2012, Numar persoane, 445
1 ani, Feminin, Urban, Covasna, Anul 2013, Numar persoane, 432
1 ani, Feminin, Urban, Covasna, Anul 2014, Numar persoane, 420
1 ani, Feminin, Urban, Covasna, Anul 2015, Numar persoane, 506
1 ani, Feminin, Urban, Covasna, Anul 2016, Numar persoane, 483
1 ani, Feminin, Urban, Harghita, Anul 2012, Numar persoane, 733
1 ani, Feminin, Urban, Harghita, Anul 2013, Numar persoane, 589
1 ani, Feminin, Urban, Harghita, Anul 2014, Numar persoane, 624
1 ani, Feminin, Urban, Harghita, Anul 2015, Numar persoane, 598
1 ani, Feminin, Urban, Harghita, Anul 2016, Numar persoane, 633
1 ani, Feminin, Rural, Covasna, Anul 2012, Numar persoane, 669
1 ani, Feminin, Rural, Covasna, Anul 2013, Numar persoane, 646
1 ani, Feminin, Rural, Covasna, Anul 2014, Numar persoane, 663
1 ani, Feminin, Rural, Covasna, Anul 2015, Numar persoane, 609
1 ani, Feminin, Rural, Covasna, Anul 2016, Numar persoane, 597
1 ani, Feminin, Rural, Harghita, Anul 2012, Numar persoane, 975
1 ani, Feminin, Rural, Harghita, Anul 2013, Numar persoane, 968
1 ani, Feminin, Rural, Harghita, Anul 2014, Numar persoane, 945
1 ani, Feminin, Rural, Harghita, Anul 2015, Numar persoane, 952
1 ani, Feminin, Rural, Harghita, Anul 2016, Numar persoane, 955
2 ani, Total, Total, Covasna, Anul 2012, Numar persoane, 2432
2 ani, Total, Total, Covasna, Anul 2013, Numar persoane, 2351
2 ani, Total, Total, Covasna, Anul 2014, Numar persoane, 2182
2 ani, Total, Total, Covasna, Anul 2015, Numar persoane, 2250
2 ani, Total, Total, Covasna, Anul 2016, Numar persoane, 2379
2 ani, Total, Total, Harghita, Anul 2012, Numar persoane, 3519
2 ani, Total, Total, Harghita, Anul 2013, Numar persoane, 3478
2 ani, Total, Total, Harghita, Anul 2014, Numar persoane, 3187
2 ani, Total, Total, Harghita, Anul 2015, Numar persoane, 3192
2 ani, Total, Total, Harghita, Anul 2016, Numar persoane, 3263
2 ani, Total, Urban, Covasna, Anul 2012, Numar persoane, 1076
2 ani, Total, Urban, Covasna, Anul 2013, Numar persoane, 981
2 ani, Total, Urban, Covasna, Anul 2014, Numar persoane, 874
2 ani, Total, Urban, Covasna, Anul 2015, Numar persoane, 917
2 ani, Total, Urban, Covasna, Anul 2016, Numar persoane, 1072
2 ani, Total, Urban, Harghita, Anul 2012, Numar persoane, 1402
2 ani, Total, Urban, Harghita, Anul 2013, Numar persoane, 1491
2 ani, Total, Urban, Harghita, Anul 2014, Numar persoane, 1208
2 ani, Total, Urban, Harghita, Anul 2015, Numar persoane, 1247
2 ani, Total, Urban, Harghita, Anul 2016, Numar persoane, 1315
2 ani, Total, Rural, Covasna, Anul 2012, Numar persoane, 1356
2 ani, Total, Rural, Covasna, Anul 2013, Numar persoane, 1370
2 ani, Total, Rural, Covasna, Anul 2014, Numar persoane, 1308
2 ani, Total, Rural, Covasna, Anul 2015, Numar persoane, 1333
2 ani, Total, Rural, Covasna, Anul 2016, Numar persoane, 1307
