Data,"EUR
 mediu","HUF
 mediu",EURnorm,HUFnorm
Jan. 2009,4.2327,0.015087,1.108675153,0.973354839
Dec. 2008,3.9153,0.014816,1.025538268,0.955870968
Nov. 2008,3.7753,0.014237,0.988867934,0.918516129
Oct. 2008,3.7454,0.014415,0.981036199,0.93
Sep. 2008,3.6254,0.015058,0.949604484,0.971483871
Aug. 2008,3.5268,0.014941,0.923778092,0.963935484
Jul. 2008,3.5792,0.015427,0.937503274,0.995290323
Jun. 2008,3.6557,0.015074,0.957540992,0.972516129
May. 2008,3.6594,0.014772,0.958510137,0.953032258
Apr. 2008,3.6426,0.014347,0.954109697,0.925612903
Mar. 2008,3.7218,0.014308,0.974854628,0.923096774
Feb. 2008,3.6528,0.013936,0.956781392,0.899096774
Jan. 2008,3.6930,0.014416,0.967311017,0.930064516
Dec. 2007,3.5289,0.013939,0.924328147,0.899290323
Nov. 2007,3.4707,0.013637,0.909083766,0.879806452
Oct. 2007,3.3525,0.013360,0.878123527,0.861935484
Sep. 2007,3.3466,0.013211,0.876578134,0.852322581
Aug. 2007,3.2237,0.012629,0.84438682,0.814774194
Jul. 2007,3.1337,0.012695,0.820813034,0.819032258
Jun. 2007,3.2264,0.012885,0.845094033,0.831290323
May. 2007,3.2850,0.013217,0.860443187,0.852709677
Apr. 2007,3.3349,0.013553,0.873513542,0.874387097
Mar. 2007,3.3694,0.013487,0.88255016,0.870129032
Feb. 2007,3.3824,0.013347,0.885955262,0.861096774
Jan. 2007,3.3937,0.013360,0.888915082,0.861935484
Dec. 2006,3.4141,0.013441,0.894258473,0.86716129
Nov. 2006,3.4954,0.013503,0.91555346,0.87116129
Oct. 2006,3.5192,0.013184,0.921787417,0.850580645
Sep. 2006,3.5270,0.012842,0.923830478,0.828516129
Aug. 2006,3.5277,0.012859,0.92401383,0.829612903
Jul. 2006,3.5723,0.012870,0.935695951,0.830322581
Jun. 2006,3.5483,0.013056,0.929409608,0.842322581
May. 2006,3.5071,0.013363,0.918618052,0.862129032
Apr. 2006,3.4911,0.013143,0.914427157,0.847935484
Mar. 2006,3.5074,0.013448,0.918696632,0.867612903
Feb. 2006,3.5404,0.014071,0.927340353,0.907806452
Jan. 2006,3.6445,0.014537,0.954607365,0.937870968
Dec. 2005,3.6589,0.014484,0.958379171,0.934451613
Nov. 2005,3.6530,0.014556,0.956833779,0.939096774
Oct. 2005,3.5984,0.014290,0.942532348,0.921935484
Sep. 2005,3.5103,0.014279,0.919456231,0.921225806
Aug. 2005,3.5057,0.014340,0.918251349,0.92516129
Jul. 2005,3.5655,0.014468,0.93391482,0.933419355
Jun. 2005,3.6139,0.014500,0.946592278,0.935483871
May. 2005,3.6182,0.014400,0.947718581,0.929032258
Apr. 2005,3.6293,0.014600,0.950626015,0.941935484
Mar. 2005,3.6338,0.014800,0.951804704,0.95483871
Feb. 2005,3.6765,0.015100,0.962989156,0.974193548
Jan. 2005,3.8178,0.015500,1,1
